Guinea,"Gross domestic product per capita, current prices","2,506.31"
Guinea,Unemployment rate,
Guinea-Bissau,"Gross domestic product per capita, current prices","2,428.79"
Guinea-Bissau,Unemployment rate,
Guyana,"Gross domestic product per capita, current prices","13,604.23"
Guyana,Unemployment rate,
Haiti,"Gross domestic product per capita, current prices","1,796.99"
Haiti,Unemployment rate,
Honduras,"Gross domestic product per capita, current prices","5,946.18"
Honduras,Unemployment rate,4.109
Hong Kong SAR,"Gross domestic product per capita, current prices","62,267.40"
Hong Kong SAR,Unemployment rate,2.955
Hungary,"Gross domestic product per capita, current prices","33,991.88"
Hungary,Unemployment rate,3.418
Iceland,"Gross domestic product per capita, current prices","58,965.05"
Iceland,Unemployment rate,3.55
India,"Gross domestic product per capita, current prices","6,977.36"
India,Unemployment rate,
Indonesia,"Gross domestic product per capita, current prices","12,483.04"
Indonesia,Unemployment rate,5.28
Islamic Republic of Iran,"Gross domestic product per capita, current prices","12,547.47"
Islamic Republic of Iran,Unemployment rate,10.65
Iraq,"Gross domestic product per capita, current prices","11,449.89"
Iraq,Unemployment rate,
Ireland,"Gross domestic product per capita, current prices","91,958.85"
Ireland,Unemployment rate,4.958
Israel,"Gross domestic product per capita, current prices","41,785.56"
Israel,Unemployment rate,3.8
Italy,"Gross domestic product per capita, current prices","44,160.77"
Italy,Unemployment rate,9.9
Jamaica,"Gross domestic product per capita, current prices","11,018.35"
Jamaica,Unemployment rate,7.7
Japan,"Gross domestic product per capita, current prices","43,193.86"
Japan,Unemployment rate,2.358
Jordan,"Gross domestic product per capita, current prices","10,530.38"
Jordan,Unemployment rate,19.075
Kazakhstan,"Gross domestic product per capita, current prices","27,291.51"
Kazakhstan,Unemployment rate,4.779
Kenya,"Gross domestic product per capita, current prices","4,984.57"
Kenya,Unemployment rate,
Kiribati,"Gross domestic product per capita, current prices","2,155.19"
Kiribati,Unemployment rate,
Korea,"Gross domestic product per capita, current prices","44,573.06"
Korea,Unemployment rate,3.783
Kosovo,"Gross domestic product per capita, current prices","11,791.18"
Kosovo,Unemployment rate,25.7
Kuwait,"Gross domestic product per capita, current prices","46,017.84"
Kuwait,Unemployment rate,n/a
Kyrgyz Republic,"Gross domestic product per capita, current prices","5,515.67"
Kyrgyz Republic,Unemployment rate,6.605
Lao P.D.R.,"Gross domestic product per capita, current prices","8,206.50"
Lao P.D.R.,Unemployment rate,
Latvia,"Gross domestic product per capita, current prices","32,013.65"
Latvia,Unemployment rate,6.311
Lebanon,"Gross domestic product per capita, current prices","15,134.48"
Lebanon,Unemployment rate,
Lesotho,"Gross domestic product per capita, current prices","3,009.77"
Lesotho,Unemployment rate,
Liberia,"Gross domestic product per capita, current prices","1,600.84"
Liberia,Unemployment rate,
Libya,"Gross domestic product per capita, current prices","14,174.04"
Libya,Unemployment rate,
Lithuania,"Gross domestic product per capita, current prices","38,586.90"
Lithuania,Unemployment rate,6.254
Luxembourg,"Gross domestic product per capita, current prices","120,490.33"
Luxembourg,Unemployment rate,5.401
Macao SAR,"Gross domestic product per capita, current prices","121,763.76"
Macao SAR,Unemployment rate,1.725
Madagascar,"Gross domestic product per capita, current prices","1,720.30"
Madagascar,Unemployment rate,
Malawi,"Gross domestic product per capita, current prices","1,003.66"
Malawi,Unemployment rate,
Malaysia,"Gross domestic product per capita, current prices","28,990.93"
Malaysia,Unemployment rate,3.275
Maldives,"Gross domestic product per capita, current prices","28,273.16"
Maldives,Unemployment rate,
Mali,"Gross domestic product per capita, current prices","2,508.49"
Mali,Unemployment rate,
Malta,"Gross domestic product per capita, current prices","46,924.14"
Malta,Unemployment rate,3.633
Marshall Islands,"Gross domestic product per capita, current prices","3,932.42"
Marshall Islands,Unemployment rate,
Mauritania,"Gross domestic product per capita, current prices","6,036.47"
Mauritania,Unemployment rate,
Mauritius,"Gross domestic product per capita, current prices","23,818.57"
Mauritius,Unemployment rate,6.7
Mexico,"Gross domestic product per capita, current prices","20,583.06"
Mexico,Unemployment rate,3.493
Micronesia,"Gross domestic product per capita, current prices","3,535.90"
Micronesia,Unemployment rate,
Moldova,"Gross domestic product per capita, current prices","13,440.46"
Moldova,Unemployment rate,5.12
Mongolia,"Gross domestic product per capita, current prices","12,551.33"
Mongolia,Unemployment rate,10
Montenegro,"Gross domestic product per capita, current prices","22,347.92"
Montenegro,Unemployment rate,
Morocco,"Gross domestic product per capita, current prices","8,147.75"
Morocco,Unemployment rate,9.2
